"Resistance.gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","Contig","Position.in.contig","Phenotype","Accession.no.","Sample"
"aac(3)-IId",99.88,"861/861",100,"1..861","JBICCP010000056.1 Escherichia coli strain 50720 contig00056, whole genome shotgun sequence","318..1178","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","EU022314","GCA_045950435.1"
"aadA2b",99.87,"780/780",100,"1..780","JBICCP010000057.1 Escherichia coli strain 50720 contig00057, whole genome shotgun sequence","4605..5384","Spectinomycin, Streptomycin","D43625","GCA_045950435.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICCP010000067.1 Escherichia coli strain 50720 contig00067, whole genome shotgun sequence","2569..3405","Streptomycin","M28829","GCA_045950435.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICCP010000067.1 Escherichia coli strain 50720 contig00067, whole genome shotgun sequence","3405..4207","Streptomycin","AF024602","GCA_045950435.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCP010000067.1 Escherichia coli strain 50720 contig00067, whole genome shotgun sequence","3405..4208","Streptomycin","AF321551","GCA_045950435.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCP010000067.1 Escherichia coli strain 50720 contig00067, whole genome shotgun sequence","3405..4208","Streptomycin","AF313472","GCA_045950435.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCP010000067.1 Escherichia coli strain 50720 contig00067, whole genome shotgun sequence","3405..4208","Streptomycin","AF321550","GCA_045950435.1"
"aadA24",100,"654/780",83.8461538461539,"127..780","JBICCP010000105.1 Escherichia coli strain 50720 contig00105, whole genome shotgun sequence","1..654","Spectinomycin, Streptomycin","DQ677333","GCA_045950435.1"
"aadA1",100,"654/792",82.5757575757576,"139..792","JBICCP010000105.1 Escherichia coli strain 50720 contig00105, whole genome shotgun sequence","1..654","Spectinomycin, Streptomycin","JQ414041","GCA_045950435.1"
"blaCTX-M-55",100,"876/876",100,"1..876","JBICCP010000072.1 Escherichia coli strain 50720 contig00072, whole genome shotgun sequence","503..1378","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","DQ810789","GCA_045950435.1"
"mcr-3.2",100,"1626/1626",100,"1..1626","JBICCP010000056.1 Escherichia coli strain 50720 contig00056, whole genome shotgun sequence","3675..5300","Colistin","NMWW01000143","GCA_045950435.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCP010000077.1 Escherichia coli strain 50720 contig00077, whole genome shotgun sequence","297..1922","Colistin","KP347127","GCA_045950435.1"
"mph(B)",99.89,"909/909",100,"1..909","JBICCP010000045.1 Escherichia coli strain 50720 contig00045, whole genome shotgun sequence","9033..9941","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045950435.1"
